Registro_ID,Año,Trimestre,Ingresos_VFR,Ingresos_Satelital,TiempoTrim_ID,Periodo,Ingresos_Total,share_vfr_%,share_sat_%,VFR_QoQ_%,VFR_YoY_%,VFR_MM4,Sat_QoQ_%,Sat_YoY_%,Sat_MM4,Total_QoQ_%,Total_YoY_%,Total_MM4
45,2014,1,3599484.35,2001221.17,20141,2014Q1,5600705.52,64.26840934854222,35.731590651457786,,,,,,,,,
44,2014,2,4053729.07,2341708.31,20142,2014Q2,6395437.38,63.38470426865472,36.61529573134528,12.619716488001952,,,17.013968526027547,,,14.189852638422607,,
43,2014,3,4423008.82,2530796.72,20143,2014Q3,6953805.540000001,63.60558681944391,36.39441318055609,9.109630752900832,,,8.07480629387185,,,8.730726716927073,,
42,2014,4,4711967.39,2686124.01,20144,2014Q4,7398091.399999999,63.69166228468062,36.30833771531939,6.533076956423511,,4197047.4075,6.137485826992828,,2389962.5525,6.389103886272873,,6587009.96
41,2015,1,5292088.22,3021837.23,20151,2015Q1,8313925.449999999,63.65330374714871,36.346696252851295,12.311647810448868,47.023509631317054,4620198.375,12.498053654641229,50.999663370540894,2645116.5675,12.37932867387932,48.444252609089155,7265314.9425
40,2015,2,5467604.99,3196655.0,20152,2015Q2,8664259.99,63.105273806540055,36.894726193459945,3.316588135033016,34.878401974703266,4973667.355,5.7851484608256065,36.50952966042129,2858853.2399999998,4.213828258467256,35.475644200584775,7832520.595000001
39,2015,3,6130815.97,3439335.7,20153,2015Q3,9570151.67,64.06184751719823,35.93815248280177,12.129826152638712,38.611886602568426,5400619.1425,7.59170758183163,35.89932659625068,3085987.985,10.455499731604888,37.62466630609862,8486607.1275
38,2015,4,6347226.86,3635228.39,20154,2015Q4,9982455.25,63.5838248310705,36.41617516892951,3.5298872296765538,34.70438852082125,5809434.01,5.695654832414299,35.33360248695296,3323264.08,4.308224093171553,34.93284565259629,9132698.09
37,2016,1,7137386.23,4069679.63,20161,2016Q1,11207065.86,63.686484215949825,36.31351578405019,12.448891262726992,34.86899562683408,6270758.5125,11.951140159311958,34.67567311691371,3585224.68,12.267629349002075,34.79872928136491,9855983.192499999
36,2016,2,7353428.98,4400976.43,20162,2016Q2,11754405.41,62.55891917547874,37.44108082452126,3.026916899801857,34.490860138014476,6742214.510000001,8.140611304089296,37.67442623617499,3886305.0375,4.883879124450874,35.66542813311862,10628519.5475
