Registro_ID,Año,Trimestre,TV_VFR,TV_Satelital,TiempoTrim_ID,Periodo,Total,share_vfr_%,share_sat_%,VFR_QoQ_%,VFR_YoY_%,VFR_MM4,Sat_QoQ_%,Sat_YoY_%,Sat_MM4,Total_QoQ_%,Total_YoY_%,Total_MM4
44,2014,2,6438522,2546820,20142,2014Q2,8985342,71.65583680621171,28.344163193788287,,,,,,,,,
43,2014,3,6449845,2450098,20143,2014Q3,8899943,72.47063267708569,27.529367322914318,0.17586334254973135,,,-3.797755632514277,,,-0.9504257044417486,,
42,2014,4,6478044,2466184,20144,2014Q4,8944228,72.42708929155205,27.57291070844795,0.43720430490965523,,,0.6565451667647659,,,0.49758745645898106,,
41,2015,1,6409504,2495326,20151,2015Q1,8904830,71.9778367470238,28.022163252976195,-1.0580354193333696,,6443978.75,1.181663655266596,,2489607.0,-0.44048519335598835,,8933585.75
40,2015,2,6460053,2582737,20152,2015Q2,9042790,71.43871526376262,28.56128473623738,0.7886569694004475,0.3344090460512428,6449361.5,3.50298918858698,1.4102684916876829,2498586.25,1.5492715750890174,0.6393524030582354,8947947.75
39,2015,3,6489305,2585384,20153,2015Q3,9074689,71.50994375675023,28.490056243249768,0.4528136224269286,0.6117976478504428,6459226.5,0.10248817436695479,5.521656684753018,2532407.75,0.35275617370302825,1.9634507771566723,8991634.25
38,2015,4,6506102,2537610,20154,2015Q4,9043712,71.94061465026749,28.0593853497325,0.25884127807214163,0.433124566613019,6466241.0,-1.8478492943407976,2.8962153675476054,2550264.25,-0.3413560508795377,1.1122703938226897,9016505.25
37,2016,1,6505712,2539255,20161,2016Q1,9044967,71.92632101366428,28.073678986335715,-0.005994372667383896,1.5010209838389965,6490293.0,0.06482477606881698,1.7604513398249422,2561246.5,0.013877045177901337,1.5737189817211616,9051539.5
36,2016,2,6534381,2642286,20162,2016Q2,9176667,71.20647398450876,28.793526015491246,0.4406742874569325,1.1505787955609748,6508875.0,4.057528684594502,2.3056548150276246,2576133.75,1.4560583803125082,1.4804833464008293,9085008.75
35,2016,3,6538382,2628542,20163,2016Q3,9166924,71.32580132659548,28.674198673404515,0.06122997725415136,0.7562751326991135,6521144.25,-0.5201556530973539,1.66930715127811,2586923.25,-0.10617144547143686,1.0163984683111416,9108067.5
