Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID,Periodo,PenHab_QoQ_%,PenHab_YoY_%,PenHog_QoQ_%,PenHog_YoY_%
599,2,2019,1,CABA,52.1,124.82,20191,2019Q1,-8.788515406162457,-7.75495750708215,-8.670520231213874,-7.30040846639437
575,2,2019,2,CABA,37.11,89.03,20192,2019Q2,-28.771593090211134,-34.676993487062134,-28.673289536933176,-34.34849937320257
551,2,2019,3,CABA,48.73,117.04,20193,2019Q3,31.312314739962275,-15.779467680608372,31.461305178029875,-15.360138848712756
527,2,2019,4,CABA,48.12,115.69,20194,2019Q4,-1.2517956084547532,-15.756302521008402,-1.1534518113465508,-15.350845101338983
503,2,2020,1,CABA,47.36,114.02,20201,2020Q1,-1.5793848711554426,-9.0978886756238,-1.4435128360273164,-8.652459541740098
479,2,2020,2,CABA,30.89,74.44,20202,2020Q2,-34.776182432432435,-16.760980867690645,-34.71320820908612,-16.38773447152646
455,2,2020,3,CABA,46.58,112.41,20203,2020Q3,50.79313693752023,-4.412066488815924,51.007522837184304,-3.9559125085440905
431,2,2020,4,CABA,46.28,111.79,20204,2020Q4,-0.6440532417346434,-3.8237738985868575,-0.5515523529935007,-3.3710778805428276
407,2,2021,1,CABA,45.39,109.28,20211,2021Q1,-1.9230769230769273,-4.159628378378377,-2.2452813310671837,-4.157165409577268
383,2,2021,2,CABA,27.67,66.68,20212,2021Q2,-39.039435999118744,-10.424085464551636,-38.982430453879935,-10.424502955400305
359,2,2021,3,CABA,44.45,107.27,20213,2021Q3,60.64329598843512,-4.572778016316004,60.87282543491299,-4.572546926430032
335,2,2021,4,CABA,46.77,112.99,20214,2021Q4,5.219347581552314,1.0587726879861759,5.332338957770122,1.0734412738169663
311,2,2022,1,CABA,46.59,112.15,20221,2022Q1,-0.38486209108402614,2.6437541308658385,-0.7434286220019404,2.626281112737927
287,2,2022,2,CABA,32.84,79.15,20222,2022Q2,-29.512770980897184,18.684495843874238,-29.424877396344186,18.70125974805039
263,2,2022,3,CABA,50.97,123.0,20223,2022Q3,55.207064555420196,14.668166479190091,55.40113708149084,14.663932133867807
239,2,2022,4,CABA,50.8,122.73,20224,2022Q4,-0.3335295271728489,8.616634594825733,-0.21951219512195141,8.620231878927353
215,2,2023,1,CABA,47.2,113.63,20231,2023Q1,-7.086614173228334,1.3092938398798104,-7.414650044813831,1.3196611680784676
191,2,2023,2,CABA,36.06,86.91,20232,2023Q2,-23.601694915254235,9.805115712545675,-23.51491683534278,9.804169298799724
167,2,2023,3,CABA,54.62,131.8,20233,2023Q3,51.469772601220164,7.161075142240536,51.65113335634566,7.154471544715446
143,2,2023,4,CABA,53.68,129.69,20234,2023Q4,-1.7209813255217865,5.6692913385826715,-1.6009104704097221,5.670985089220237
119,2,2024,1,CABA,46.05,110.83,20241,2024Q1,-14.213859910581228,-2.436440677966112,-14.542370267561111,-2.464137991727533
95,2,2024,2,CABA,27.59,66.46,20242,2024Q2,-40.08686210640607,-23.48863006100943,-40.034286745466034,-23.53008859739961
71,2,2024,3,CABA,43.19,104.17,20243,2024Q3,56.542225444001446,-20.926400585865977,56.740896780018076,-20.963581183611534
47,2,2024,4,CABA,49.73,120.06,20244,2024Q4,15.142394072702015,-7.358420268256339,15.253911874820014,-7.425399028452462
23,2,2025,1,CABA,50.68,121.97,20251,2025Q1,1.9103157048059538,10.05428881650381,1.5908712310511275,10.051430118199045
