7725;1000048;Conesa;Otros;Río Negro;Río Negro;SATELITAL;SATELITAL;1
7995;1000049;Capital;Otros;Salta;Salta;SATELITAL;SATELITAL;1
8231;1000050;Otros;Otros;Salta;Salta;Otros;Otros;14
8322;1000051;9 de Julio;Otros;San Juan;San Juan;SATELITAL;SATELITAL;1
8339;1000052;Albardón;Otros;San Juan;San Juan;Otros;Otros;300
8346;1000053;Angaco;Otros;San Juan;San Juan;Otros;Otros;72
8434;1000054;Otros;Otros;San Juan;San Juan;Otros;Otros;450
8517;1000055;Valle Fértil;Otros;San Juan;San Juan;Otros;Otros;190
8549;1000056;Ayacucho;Otros;San Luis;San Luis;SATELITAL;SATELITAL;3
8658;1000057;Coronel Pringles;Otros;San Luis;San Luis;SATELITAL;SATELITAL;27
8873;1000058;Otros;Otros;San Luis;San Luis;Otros;Otros;70
9585;1000059;Las Colonias;Otros;Santa Fe;Santa Fe;WIRELESS;WIRELESS;16
9632;1000060;Otros;Otros;Santa Fe;Santa Fe;Otros;Otros;2581
9789;1000061;San Cristóbal;Otros;Santa Fe;Santa Fe;WIRELESS;WIRELESS;6
9925;1000062;San Justo;Otros;Santa Fe;Santa Fe;SATELITAL;SATELITAL;28
10403;1000063;Ojo de Agua;Otros;Santiago Del Estero;Santiago Del Estero;SATELITAL;SATELITAL;4
10411;1000064;Otros;Otros;Santiago Del Estero;Santiago Del Estero;Otros;Otros;310
10523;1000065;ANTARTIDA ARGENTINA;Base Orcadas;Tierra Del Fuego;Tierra Del Fuego;SATELITAL;SATELITAL;1
10552;1000066;Burruyacú;Otros;Tucumán;Tucumán;SATELITAL;SATELITAL;1
3049;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;ADSL;ADSL;23684
3050;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;CABLEMODEM;CABLEMODEM;1068665
3051;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;DIAL UP;DIAL UP;2778
3052;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;FIBRA OPTICA;FIBRA OPTICA;345148
3053;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;Otros;Otros;32639
3054;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;97
3055;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;WIRELESS;WIRELESS;4353
3056;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;22
3057;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;30
3058;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;34
3059;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;56
3060;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;118
3061;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;27
3062;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;70
3063;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;17
3064;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;15
3065;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;68
3066;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;32
3067;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;46
3068;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;38
3069;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;27
3070;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;23
3071;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;52
3072;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;39
3073;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;33
3074;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;54
3075;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;16
3076;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;31
3077;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;10
3078;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;27
3079;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;21
3080;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;7
3081;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;9
3082;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;4
3083;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;2
3084;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;10
3085;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;4
3086;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;18
3087;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;48
3088;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;16
3089;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;5
3090;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;18
3091;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;22
3092;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;16
3093;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;30
3094;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;92
3095;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;59
3096;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;34
3097;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;175
3098;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;5
3099;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;32
3100;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;7
3101;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;19
3102;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;19
3103;2000010;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CABA;CABA;SATELITAL;SATELITAL;15
57;6007010;Adolfo Alsina;Carhué;Buenos Aires;Buenos Aires;ADSL;ADSL;732
58;6007010;Adolfo Alsina;Carhué;Buenos Aires;Buenos Aires;DIAL UP;DIAL UP;1
59;6007010;Adolfo Alsina;Carhué;Buenos Aires;Buenos Aires;FIBRA OPTICA;FIBRA OPTICA;1417
60;6007010;Adolfo Alsina;Carhué;Buenos Aires;Buenos Aires;Otros;Otros;1
61;6007010;Adolfo Alsina;Carhué;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;25
62;6007010;Adolfo Alsina;Carhué;Buenos Aires;Buenos Aires;WIRELESS;WIRELESS;1073
74;6007010;Adolfo Alsina;Carhué;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;3
63;6007020;Adolfo Alsina;Colonia San Miguel Arcángel;Buenos Aires;Buenos Aires;FIBRA OPTICA;FIBRA OPTICA;208
64;6007020;Adolfo Alsina;Colonia San Miguel Arcángel;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;9
65;6007030;Adolfo Alsina;Delfín Huergo;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;4
66;6007050;Adolfo Alsina;Esteban Agustín Gascón;Buenos Aires;Buenos Aires;FIBRA OPTICA;FIBRA OPTICA;60
67;6007050;Adolfo Alsina;Esteban Agustín Gascón;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;3
68;6007060;Adolfo Alsina;La Pala;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;3
69;6007070;Adolfo Alsina;Maza;Buenos Aires;Buenos Aires;FIBRA OPTICA;FIBRA OPTICA;390
70;6007070;Adolfo Alsina;Maza;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;17
71;6007070;Adolfo Alsina;Maza;Buenos Aires;Buenos Aires;WIRELESS;WIRELESS;14
72;6007080;Adolfo Alsina;Rivera;Buenos Aires;Buenos Aires;FIBRA OPTICA;FIBRA OPTICA;1310
73;6007080;Adolfo Alsina;Rivera;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;9
75;6007100;Adolfo Alsina;Villa Margarita;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;2
76;6007110;Adolfo Alsina;Yutuyaco;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;18
77;6014010;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);Buenos Aires;Buenos Aires;ADSL;ADSL;355
78;6014010;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);Buenos Aires;Buenos Aires;DIAL UP;DIAL UP;2
79;6014010;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);Buenos Aires;Buenos Aires;FIBRA OPTICA;FIBRA OPTICA;943
80;6014010;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;34
81;6014010;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);Buenos Aires;Buenos Aires;WIRELESS;WIRELESS;690
82;6014020;Adolfo Gonzales Chaves;De la Garma;Buenos Aires;Buenos Aires;FIBRA OPTICA;FIBRA OPTICA;689
83;6014020;Adolfo Gonzales Chaves;De la Garma;Buenos Aires;Buenos Aires;SATELITAL;SATELITAL;18
84;6014020;Adolfo Gonzales Chaves;De la Garma;Buenos Aires;Buenos Aires;WIRELESS;WIRELESS;53
