ID_Penetracion;ID_Periodo;ID_Provincias;Accesos_telefonía_fija_cada_100_hab;Accesos_telefonía_fija_cada_100_hogares;Hogares;Comercial;Gobierno;Otros;Total
87;2024-T3;Neuquén;8,7;31,06;54230;5507;253;744;60734
88;2024-T3;Río Negro;8,81;30,43;61823;6278;288;848;69237
89;2024-T3;Salta;6,23;27,29;83194;8449;387;1141;93171
90;2024-T3;San Juan;7,34;30,34;53429;5426;249;733;59837
91;2024-T3;San Luis;5,43;20,14;25890;2629;121;355;28995
92;2024-T3;Santa Cruz;5,38;20,35;19368;1967;90;266;21691
93;2024-T3;Santa Fe;15,84;52,28;515754;52377;2402;7071;577604
94;2024-T3;Santiago del Estero;5,98;25,29;54369;5521;253;745;60888
95;2024-T3;Tierra del Fuego;8,78;33,36;15005;1524;70;206;16805
96;2024-T3;Tucumán;8,9;38,04;141197;14339;658;1936;158130
97;2024-T4;Buenos Aires;15,73;50,1;2569839;256962;12550;34793;2874144
98;2024-T4;CABA;49,73;120,06;1372151;137203;6701;18578;1534633
99;2024-T4;Catamarca;3,88;15,88;14925;1492;73;202;16692
100;2024-T4;Chaco;3,47;13,59;38900;3890;190;527;43507
101;2024-T4;Chubut;7,59;26,78;44993;4499;220;609;50321
102;2024-T4;Córdoba;11,3;38,76;396682;39665;1937;5371;443655
103;2024-T4;Corrientes;5,91;23,36;61323;6132;299;830;68584
104;2024-T4;Entre Ríos;8,98;31,38;115657;11565;565;1566;129353
105;2024-T4;Formosa;5,5;22,43;30745;3074;150;416;34385
106;2024-T4;Jujuy;2,62;10,78;18887;1889;92;256;21124
107;2024-T4;La Pampa;16,53;52,23;54881;5488;268;743;61380
108;2024-T4;La Rioja;4,93;19,71;18325;1832;89;248;20494
109;2024-T4;Mendoza;8,81;33,14;163613;16360;799;2215;182987
110;2024-T4;Misiones;4,23;16,34;49866;4986;244;675;55771
111;2024-T4;Neuquén;8,91;31,8;55787;5578;272;755;62392
112;2024-T4;Río Negro;8,65;29,87;60960;6095;298;825;68178
113;2024-T4;Salta;4,33;18,95;58026;5802;283;786;64897
114;2024-T4;San Juan;6,11;25,24;44623;4462;218;604;49907
115;2024-T4;San Luis;4,95;18,38;23731;2373;116;321;26541
116;2024-T4;Santa Cruz;5,08;19,23;18442;1844;90;250;20626
117;2024-T4;Santa Fe;10,88;35,9;355300;35527;1735;4810;397372
118;2024-T4;Santiago del Estero;5,08;21,5;46391;4639;227;628;51885
119;2024-T4;Tierra del Fuego;7,11;27;12235;1224;60;166;13685
120;2024-T4;Tucumán;7,25;30,97;115452;11544;564;1563;129123
121;2023-T1;Buenos Aires;16,8;50,96;2590193;291279;11371;44983;2937826
122;2023-T1;CABA;47,2;113,63;1279427;143878;5617;22220;1451142
123;2023-T1;Catamarca;6,79;26,7;24801;2789;109;431;28130
124;2023-T1;Chaco;6,66;24,9;70458;7923;309;1224;79914
125;2023-T1;Chubut;9,33;30,43;50618;5692;222;879;57411
126;2023-T1;Córdoba;15,27;49,87;504532;56737;2215;8762;572246
127;2023-T1;Corrientes;7,45;28,29;73387;8253;322;1275;83237
128;2023-T1;Entre Ríos;12,86;43,01;156653;17617;688;2721;177679
129;2023-T1;Formosa;5,45;21,41;28992;3260;127;503;32882
130;2023-T1;Jujuy;5,92;23,14;40065;4506;176;696;45443
131;2023-T1;La Pampa;19;57,66;59869;6733;263;1040;67905
132;2023-T1;La Rioja;6,54;24,58;22608;2542;99;393;25642
133;2023-T1;Mendoza;8,68;31,1;151793;17070;666;2636;172165
134;2023-T1;Misiones;6,8;24,96;75309;8469;331;1308;85417
135;2023-T1;Neuquén;9,45;31,76;55106;6197;242;957;62502
136;2023-T1;Río Negro;9,07;29,48;59511;6692;261;1034;67498
137;2023-T1;Salta;7,17;29,61;89696;10087;394;1558;101735
138;2023-T1;San Juan;7,69;30,18;52756;5933;232;916;59837
139;2023-T1;San Luis;5,73;20,01;25564;2875;112;444;28995
140;2023-T1;Santa Cruz;6,15;20,66;19658;2211;86;341;22296
141;2023-T1;Santa Fe;16,98;54;528080;59385;2318;9171;598954
142;2023-T1;Santiago del Estero;6,61;26,64;56828;6391;249;987;64455
143;2023-T1;Tierra del Fuego;9,77;32,95;14815;1666;65;257;16803
144;2023-T1;Tucumán;10,23;41,29;152218;17118;668;2644;172648
145;2023-T2;Buenos Aires;13,35;40,4;2793773;299661;12436;42016;3147886
146;2023-T2;CABA;36,06;86,91;1466033;157247;6526;22048;1651854
147;2023-T2;Catamarca;5,08;19,98;18074;1939;80;272;20365
148;2023-T2;Chaco;4,83;18,07;47897;5137;213;720;53967
149;2023-T2;Chubut;9,76;31,84;48049;5154;214;723;54140
150;2023-T2;Córdoba;12,53;40,93;427266;45829;1902;6426;481423
151;2023-T2;Corrientes;7,47;28,37;70887;7603;316;1066;79872
152;2023-T2;Entre Ríos;10,82;36,18;129069;13844;575;1941;145429
153;2023-T2;Formosa;5,54;21,77;31766;3407;141;478;35792
154;2023-T2;Jujuy;3,94;15,4;24661;2645;110;371;27787
155;2023-T2;La Pampa;18,82;57,11;59947;6430;267;902;67546
156;2023-T2;La Rioja;5,96;22,38;20422;2191;91;307;23011
157;2023-T2;Mendoza;8,47;30,36;167466;17963;745;2519;188693
158;2023-T2;Misiones;5,77;21,19;60485;6488;269;910;68152
159;2023-T2;Neuquén;11,21;37,67;60010;6437;267;903;67617
160;2023-T2;Río Negro;8,72;28,35;61702;6618;275;928;69523
161;2023-T2;Salta;5,44;22,47;66426;7125;296;999;74846
162;2023-T2;San Juan;8,15;32,01;47476;5092;211;714;53493
163;2023-T2;San Luis;5,18;18,09;24780;2658;110;373;27921
164;2023-T2;Santa Cruz;6,38;21,44;19793;2123;88;298;22302
165;2023-T2;Santa Fe;13,58;43,18;401053;43017;1785;6032;451887
166;2023-T2;Santiago del Estero;6,28;25,3;52473;5628;234;789;59124
167;2023-T2;Tierra del Fuego;11,47;38,68;13093;1404;58;197;14752
168;2023-T2;Tucumán;8,96;36,19;130314;13977;580;1960;146831
169;2023-T3;Buenos Aires;18,17;54,85;2830114;306770;12290;43040;3192214
170;2023-T3;CABA;54,62;131,8;1489625;161468;6469;22654;1680216
171;2023-T3;Catamarca;5,07;19,92;18687;2025;81;284;21077
172;2023-T3;Chaco;4,69;17,56;50198;5441;218;763;56620
173;2023-T3;Chubut;9,72;31,71;53485;5797;232;813;60327
174;2023-T3;Córdoba;12,44;40,63;415451;45033;1804;6318;468606
175;2023-T3;Corrientes;7,32;27,79;72824;7894;316;1107;82141
176;2023-T3;Entre Ríos;10,73;35,87;131985;14307;573;2007;148872
177;2023-T3;Formosa;5,65;22,21;30373;3292;132;462;34259
178;2023-T3;Jujuy;3,74;14,61;25585;2773;111;389;28858
179;2023-T3;La Pampa;18,78;56,99;59745;6476;259;909;67389
180;2023-T3;La Rioja;5,93;22,26;20717;2246;90;315;23368
181;2023-T3;Mendoza;8,53;30,58;150843;16351;655;2294;170143
182;2023-T3;Misiones;5,58;20,48;62480;6772;271;950;70473
183;2023-T3;Neuquén;11,23;37,71;66230;7179;288;1007;74704
184;2023-T3;Río Negro;8,88;28,87;58978;6393;256;897;66524
185;2023-T3;Salta;5,44;22,45;68812;7459;299;1046;77616
186;2023-T3;San Juan;8,13;31,93;56431;6117;245;858;63651
187;2023-T3;San Luis;5,16;18,04;23313;2527;101;355;26296
188;2023-T3;Santa Cruz;6,34;21,31;20642;2237;90;314;23283
189;2023-T3;Santa Fe;13,14;41,78;412407;44703;1791;6272;465173
190;2023-T3;Santiago del Estero;6,16;24,83;53544;5804;233;814;60395
191;2023-T3;Tierra del Fuego;11,4;38,44;17597;1907;76;268;19848
192;2023-T3;Tucumán;8,88;35,83;133608;14482;580;2032;150702
193;2023-T4;Buenos Aires;17,87;53,84;2793773;299661;12436;42016;3147886
194;2023-T4;CABA;53,68;129,69;1466033;157247;6526;22048;1651854
195;2023-T4;Catamarca;4,88;19,2;18074;1939;80;272;20365
196;2023-T4;Chaco;4,46;16,7;47897;5137;213;720;53967
197;2023-T4;Chubut;8,69;28,34;48049;5154;214;723;54140
198;2023-T4;Córdoba;12,75;41,64;427266;45829;1902;6426;481423
199;2023-T4;Corrientes;7,1;26,97;70887;7603;316;1066;79872
200;2023-T4;Entre Ríos;10,45;34,96;129069;13844;575;1941;145429
201;2023-T4;Formosa;5,89;23,16;31766;3407;141;478;35792
202;2023-T4;Jujuy;3,59;14,03;24661;2645;110;371;27787
203;2023-T4;La Pampa;18,78;57;59947;6430;267;902;67546
204;2023-T4;La Rioja;5,82;21,85;20422;2191;91;307;23011
205;2023-T4;Mendoza;9,44;33,83;167466;17963;745;2519;188693
206;2023-T4;Misiones;5,38;19,75;60485;6488;269;910;68152
207;2023-T4;Neuquén;10,13;34,03;60010;6437;267;903;67617
