ID_Servicios;ID_Periodo;TV por Suscripción (VFR) C/100 hab2;TV Satelital C/100 hab3;TV por Suscripción (VFR) C/100 hog4;TV Satelital C/100 hog5;Ingresos TV por Suscripción (VFR)2;Ingresos TV Satelital3;TV por Suscripción (VFR) ACC;TV Satelital ACC;Accesos telefonía fija cada 100 hab2;Accesos telefonía fija cada 100 hogares3;Ingresos telefonia fija2;TF Hogares accesos Totales;TF Comercial accesos Totales;TF Gobierno accesos Totales;TF Otros accesos Totales;TF Total accesos Totales 
35;2016-T3;15;6,03;50,34;20,24;8293761,49;4653224,18;6538382;2628542;23,2;75,53;4951967,66;8829818;724585;37068;539018;10130489
36;2016-T2;14,99;6,06;50,3;20,34;7353428,98;4400976,43;6534381;2642286;23,83;77,65;4718769,82;9037000;759247;38093;545409;10379749
37;2016-T1;14,92;5,83;50,08;19,55;7137386,23;4069679,63;6505712;2539255;23,57;76,86;4198260,39;8950226;721226;37841;530088;10239381
38;2015-T4;15,08;5,88;50,61;19,74;6347226,86;3635228,39;6506102;2537610;23,03;75,17;3815364,12;8380800;1003363;35161;556474;9975798
39;2015-T3;15,05;5,99;50,48;20,11;6130815,97;3439335,7;6489305;2585384;23,26;76,03;3590883,18;8364541;1095767;35230;555079;10050617
40;2015-T2;14,98;5,99;50,25;20,09;5467604,99;3196655;6460053;2582737;23,18;75,87;3425518,48;8291156;1103025;34419;562590;9991190
41;2015-T1;14,86;5,79;49,86;19,41;5292088,22;3021837,23;6409504;2495326;23,47;76,89;3260124,75;8358053;1134427;36888;556853;10086221
42;2014-T4;15,18;5,78;50,92;19,18;4711967,39;2686124,01;6478044;2466184;22,61;74,16;3339690,9;7989623;1106502;33139;560488;9689752
43;2014-T3;15,12;5,74;50,7;19,06;4423008,82;2530796,72;6449845;2450098;22,49;73,86;3105462,02;7924613;1091747;32516;564485;9613361
44;2014-T2;15,09;5,97;50,61;19,81;4053729,07;2341708,31;6438522;2546820;22,4;73,65;2974865,2;7872511;1073038;31339;572106;9548994
45;2014-T1;12,74;5,57;42,72;18,48;3599484,35;2001221,17;0;0;22,49;74,04;2916071,75;7897980;1065834;30917;567500;9562231
