Año,Trimestre,Provincia,Banda Ancha Fija,Dial Up,Total,Periodo
2023,4,CABA,1472317,205,1474367,2023-T4
2023,4,Catamarca,74586,10,74587,2023-T4
2023,4,Chaco,147381,50,147386,2023-T4
2023,4,Chubut,169313,8570,170170,2023-T4
2023,4,Córdoba,1079239,630,1079302,2023-T4
2023,4,Corrientes,159469,30,159472,2023-T4
2023,4,Entre Ríos,298617,200,298637,2023-T4
2023,4,Formosa,62002,0,62002,2023-T4
2023,4,Jujuy,118020,0,118020,2023-T4
2023,4,La Pampa,121164,1620,121326,2023-T4
2023,4,La Rioja,87717,40,87721,2023-T4
2023,4,Mendoza,298621,7300,299351,2023-T4
2023,4,Misiones,200333,0,200333,2023-T4
2023,4,Neuquén,164188,4390,164627,2023-T4
2023,4,Río Negro,167902,5150,168417,2023-T4
2023,4,Salta,204727,50,204732,2023-T4
2023,4,San Juan,102963,2470,103210,2023-T4
2023,4,San Luis,154520,1650,154685,2023-T4
2023,4,Santa Cruz,86844,1870,87031,2023-T4
2023,4,Santa Fe,909395,1060,909501,2023-T4
2023,4,Santiago Del Estero,123228,20,123230,2023-T4
2023,4,Tierra Del Fuego,61294,3050,61599,2023-T4
2023,4,Tucumán,266308,270,266335,2023-T4
2023,3,Buenos Aires,4962337,59,4968237,2023-T3
2023,3,CABA,1465934,205,1467984,2023-T3
2023,3,Catamarca,74354,10,74355,2023-T3
2023,3,Chaco,142141,50,142146,2023-T3
2023,3,Chubut,167211,8570,168068,2023-T3
2023,3,Córdoba,1069271,630,1069334,2023-T3
2023,3,Corrientes,159826,30,159829,2023-T3
2023,3,Entre Ríos,293273,200,293293,2023-T3
2023,3,Formosa,61314,0,61314,2023-T3
2023,3,Jujuy,117377,0,117377,2023-T3
2023,3,La Pampa,119759,1620,119921,2023-T3
2023,3,La Rioja,87697,40,87701,2023-T3
2023,3,Mendoza,297292,7300,298022,2023-T3
2023,3,Misiones,197135,0,197135,2023-T3
2023,3,Neuquén,163834,4390,164273,2023-T3
2023,3,Río Negro,162970,5150,163485,2023-T3
2023,3,Salta,206228,50,206233,2023-T3
2023,3,San Juan,103483,2470,103730,2023-T3
2023,3,San Luis,148751,1650,148916,2023-T3
2023,3,Santa Cruz,47800,1870,47987,2023-T3
2023,3,Santa Fe,900246,1060,900352,2023-T3
2023,3,Santiago Del Estero,121926,20,121928,2023-T3
2023,3,Tierra Del Fuego,58426,3050,58731,2023-T3
2023,3,Tucumán,266530,270,266557,2023-T3
2023,2,Buenos Aires,4879442,6046,4885488,2023-T2
2023,2,CABA,1455578,21,1457678,2023-T2
2023,2,Catamarca,72989,10,72990,2023-T2
2023,2,Chaco,141850,50,141855,2023-T2
2023,2,Chubut,163078,8830,163961,2023-T2
2023,2,Córdoba,1067686,650,1067751,2023-T2
2023,2,Corrientes,158290,40,158294,2023-T2
2023,2,Entre Ríos,273927,200,273947,2023-T2
2023,2,Formosa,60350,0,60350,2023-T2
2023,2,Jujuy,117442,0,117442,2023-T2
