Registro_ID,Año,MesId,Mes,Total General,TiempoMes_ID,Trimestre,TiempoTrim_ID
138,2013,10,Octubre,34563,201310,4,20134
139,2013,9,Septiembre,33683,201309,3,20133
140,2013,8,Agosto,28542,201308,3,20133
141,2013,7,Julio,27105,201307,3,20133
142,2013,6,Junio,22065,201306,2,20132
143,2013,5,Mayo,28883,201305,2,20132
144,2013,4,Abril,27522,201304,2,20132
145,2013,3,Marzo,24265,201303,1,20131
146,2013,2,Febrero,20329,201302,1,20131
147,2013,1,Enero,27555,201301,1,20131
148,2012,12,Diciembre,26797,201212,4,20124
149,2012,11,Noviembre,30439,201211,4,20124
150,2012,10,Octubre,35617,201210,4,20124
151,2012,9,Septiembre,33392,201209,3,20123
152,2012,8,Agosto,33518,201208,3,20123
153,2012,7,Julio,33805,201207,3,20123
154,2012,6,Junio,30824,201206,2,20122
155,2012,5,Mayo,34635,201205,2,20122
156,2012,4,Abril,8034,201204,2,20122
157,2012,3,Marzo,153,201203,1,20121
