"Año","Trimestre","Provincias","Accesos cada 100 Hogares","Accesos cada 100 Habitantes"
"2023","4","Jujuy","57,78","14,77"
"2023","4","La Pampa","99,96","32,93"
"2023","4","La Rioja","80,22","21,35"
"2023","4","Mendoza","52,15","14,55"
"2023","4","Misiones","56,27","15,33"
"2023","4","Neuquén","79,91","23,78"
"2023","4","Río Negro","70,26","21,61"
"2023","4","Salta","56,98","13,80"
"2023","4","San Juan","50,08","12,75"
"2023","4","San Luis","102,07","29,21"
"2023","4","Santa Cruz","73,75","21,94"
"2023","4","Santa Fe","79,75","25,08"
"2023","4","Santiago Del Estero","49,08","12,18"
"2023","4","Tierra Del Fuego","110,49","32,75"
"2023","4","Tucumán","61,04","15,12"
"2023","3","Buenos Aires","80,64","27,50"
"2023","3","CABA","116,40","47,60"
"2023","3","Catamarca","68,55","17,44"
"2023","3","Chaco","42,87","11,46"
"2023","3","Chubut","84,23","25,82"
"2023","3","Córdoba","90,05","27,57"
"2023","3","Corrientes","52,78","13,90"
"2023","3","Entre Ríos","68,84","20,58"
"2023","3","Formosa","38,86","9,89"
"2023","3","Jujuy","57,61","14,73"
"2023","3","La Pampa","99,00","32,62"
"2023","3","La Rioja","80,44","21,41"
"2023","3","Mendoza","52,03","14,52"
"2023","3","Misiones","55,51","15,12"
"2023","3","Neuquén","79,97","23,80"
"2023","3","Río Negro","68,40","21,04"
"2023","3","Salta","57,57","13,94"
"2023","3","San Juan","50,45","12,85"
"2023","3","San Luis","98,55","28,20"
"2023","3","Santa Cruz","40,89","12,17"
"2023","3","Santa Fe","79,09","24,87"
"2023","3","Santiago Del Estero","48,67","12,08"
"2023","3","Tierra Del Fuego","105,95","31,41"
"2023","3","Tucumán","61,26","15,17"
"2023","2","Buenos Aires","79,67","27,10"
"2023","2","CABA","115,48","47,27"
"2023","2","Catamarca","67,42","17,15"
"2023","2","Chaco","42,87","11,46"
"2023","2","Chubut","82,49","25,28"
"2023","2","Córdoba","90,13","27,59"
"2023","2","Corrientes","52,37","13,79"
"2023","2","Entre Ríos","64,43","19,26"
"2023","2","Formosa","38,32","9,75"
"2023","2","Jujuy","57,78","14,78"
"2023","2","La Pampa","98,35","32,40"
"2023","2","La Rioja","80,01","21,30"
"2023","2","Mendoza","52,09","14,54"
"2023","2","Misiones","55,18","15,03"
"2023","2","Neuquén","78,97","23,50"
"2023","2","Río Negro","68,56","21,09"
"2023","2","Salta","57,48","13,92"
"2023","2","San Juan","47,52","12,10"
"2023","2","San Luis","93,41","26,73"
"2023","2","Santa Cruz","41,66","12,39"
"2023","2","Santa Fe","78,83","24,79"
"2023","2","Santiago Del Estero","47,14","11,70"
"2023","2","Tierra Del Fuego","106,38","31,54"
"2023","2","Tucumán","60,75","15,05"
"2023","1","Buenos Aires","79,00","26,81"
"2023","1","CABA","122,59","50,23"
"2023","1","Catamarca","66,17","16,83"
"2023","1","Chaco","43,15","11,53"
"2023","1","Chubut","85,89","26,32"
"2023","1","Córdoba","88,84","27,20"
"2023","1","Corrientes","52,05","13,71"
"2023","1","Entre Ríos","64,79","19,37"
"2023","1","Formosa","38,79","9,87"
"2023","1","Jujuy","58,20","14,88"
"2023","1","La Pampa","96,55","31,81"
"2023","1","La Rioja","79,74","21,23"
"2023","1","Mendoza","51,40","14,34"
"2023","1","Misiones","53,97","14,70"
"2023","1","Neuquén","78,55","23,38"
"2023","1","Río Negro","69,16","21,27"
"2023","1","Salta","57,67","13,97"
"2023","1","San Juan","49,75","12,67"
"2023","1","San Luis","90,17","25,80"
"2023","1","Santa Cruz","43,42","12,92"
"2023","1","Santa Fe","78,13","24,57"
"2023","1","Santiago Del Estero","47,55","11,80"
"2023","1","Tierra Del Fuego","104,23","30,90"
"2023","1","Tucumán","60,34","14,95"
"2022","4","Buenos Aires","78,94","26,72"
"2022","4","CABA","122,73","50,35"
"2022","4","Catamarca","65,77","16,73"
"2022","4","Chaco","43,62","11,66"
"2022","4","Chubut","85,57","26,23"
"2022","4","Córdoba","89,03","27,26"
"2022","4","Corrientes","51,64","13,60"
"2022","4","Entre Ríos","64,01","19,14"
"2022","4","Formosa","39,41","10,03"
"2022","4","Jujuy","58,46","14,95"
"2022","4","La Pampa","94,80","31,23"
"2022","4","La Rioja","79,86","21,26"
"2022","4","Mendoza","51,36","14,33"
"2022","4","Misiones","52,85","14,39"
"2022","4","Neuquén","78,67","23,41"
"2022","4","Río Negro","68,42","21,04"
"2022","4","Salta","57,96","14,04"
"2022","4","San Juan","50,88","12,96"
"2022","4","San Luis","90,27","25,83"
"2022","4","Santa Cruz","43,53","12,95"
"2022","4","Santa Fe","78,40","24,65"
"2022","4","Santiago Del Estero","48,05","11,92"
"2022","4","Tierra Del Fuego","101,44","30,07"
"2022","4","Tucumán","61,04","15,12"
"2022","3","Buenos Aires","78,11","26,37"
"2022","3","CABA","122,28","50,22"
"2022","3","Catamarca","65,33","16,62"
"2022","3","Chaco","43,86","11,72"
"2022","3","Chubut","84,38","25,86"
"2022","3","Córdoba","88,31","27,04"
"2022","3","Corrientes","48,21","12,69"
