ID_Conexion_Per;Banda Ancha Fija;Dial Up;Total(BAF+DU);Ingresos;Accesos cada 100 Hogares;Accesos cada 100 Habitantes;ADSL;Cablemodem;Fibra Optica;Wireless;Otros(Tecnologias);Total(Tecnologias);Hasta 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;Otros(Velocidades);Total(Velocidades);ID_Periodo
31;10075184;10357;10085541;42999944,29;70,58;21,98;1950631;5826257;1566048;492415;250190;10085541;40174;41437;2550229;1095772;710122;536364;4948174;163269;10085541;2021-T3
32;10476933;12861;10489794;45467887,17;73,18;22,81;1657615;5984240;2072236;523107;252596;10489794;41262;28521;1413208;1245333;976539;558358;6032322;194251;10489794;2021-T4
33;10611390;12619;10624009;55219313,01;73,88;23,05;1533240;6073426;2219533;545814;251996;10624009;34890;104840;1263273;1209148;967508;509830;6336187;198333;10624009;2022-T1
34;10946248;12436;10958684;60419500,62;75,97;23,72;1468333;5979214;2723285;556243;231609;10958684;33667;99498;1193090;1197030;856562;485321;6741922;351594;10958684;2022-T2
35;11078691;12437;11091128;64086784,33;76,64;23,95;1395277;6031970;2871541;557110;235230;11091128;33013;96727;1161370;1151906;823505;479822;6995750;349035;11091128;2022-T3
36;11195668;12446;11208114;72443482,99;77,21;24,15;1315373;6037457;3060575;572969;221740;11208114;31981;85668;1075272;1109421;765015;335573;7410902;394282;11208114;2022-T4
37;11229459;12436;11241895;104134992,8;77,2;24,17;1204417;6002582;3243411;576647;214838;11241895;31437;82048;1001553;1060321;729194;357769;7564819;414754;11241895;2023-T1
38;11239781;12116;11251897;118060280,3;77,02;24,14;1006509;5997149;3463988;581823;202428;11251897;30827;79405;963510;1028250;734125;364730;7775095;275955;11251897;2023-T2
39;11395115;11793;11406908;133106593,4;77,84;24,41;897895;6018832;3708718;581436;200027;11406908;30274;80609;945608;998725;720084;350918;8003269;277421;11406908;2023-T3
40;11535868;11793;11547661;167376014,8;78,56;24,66;836390;6022532;3908183;585760;194796;11547661;29708;71742;900253;978108;697232;350290;8224736;295592;11547661;2023-T4
41;11621363;11793;11633156;346198986,1;78,89;24,79;774475;5986957;4015101;598682;257941;11633156;28801;69355;866152;950930;672155;353896;8363694;328173;11633156;2024-T1
42;11544314;11793;11556107;442032166,7;78,13;24,57;733491;5867504;4169958;593197;191957;11556107;28151;67024;840200;911374;662649;348253;8357088;341368;11556107;2024-T2
43;11685135;11827;11696962;541734583,5;78,83;24,82;721676;5787585;4315339;608325;264037;11696962;28151;65749;820923;855487;693805;364749;8494220;373878;11696962;2024-T3
44;11913680;1194;11925620;697603364,8;80,12;25,25;521297;5625728;4875163;599299;304133;11925620;3375;54221;695013;551369;558995;381846;9425289;255512;11925620;2024-T4
45;12079765;11852;12091617;671895963,2;80,99;25,54;485049;5610147;5031815;589887;374719;12091617;3082;54685;670937;502215;540061;371315;9699232;250090;12091617;2025-T1
