ID_Acceso_UT;ID_Localidad;ID_Tecnologia;Accesos
205;6035010;FIBRA OPTICA;3297
206;6035010;Otros;37
207;6035010;SATELITAL;10
208;6035010;ADSL;11
209;6035010;CABLEMODEM;593
210;6035010;FIBRA OPTICA;1913
211;6035010;SATELITAL;51
212;6035010;WIRELESS;26
213;6035010;ADSL;3
214;6035010;CABLEMODEM;5420
215;6035010;FIBRA OPTICA;5103
216;6035010;Otros;4
217;6035010;SATELITAL;15
218;6035010;ADSL;9
219;6035010;CABLEMODEM;5359
220;6035010;DIAL UP;1
221;6035010;FIBRA OPTICA;2858
222;6035010;Otros;3
223;6035010;SATELITAL;9
224;6035010;ADSL;23
225;6035010;CABLEMODEM;8997
226;6035010;DIAL UP;56
227;6035010;FIBRA OPTICA;15854
228;6035010;Otros;37
229;6035010;SATELITAL;31
230;6035010;WIRELESS;1
231;6035010;ADSL;15
232;6035010;CABLEMODEM;8007
233;6035010;DIAL UP;2
234;6035010;FIBRA OPTICA;7693
235;6035010;Otros;8
236;6035010;SATELITAL;17
237;6035010;WIRELESS;572
238;6035010;ADSL;9
239;6035010;CABLEMODEM;11565
240;6035010;DIAL UP;60
241;6035010;FIBRA OPTICA;19201
242;6035010;Otros;4
243;6035010;SATELITAL;17
244;6035010;WIRELESS;114
245;6042010;ADSL;1439
246;6042010;DIAL UP;2
247;6042010;FIBRA OPTICA;1
248;6042010;SATELITAL;85
249;6042010;WIRELESS;142
250;6042020;SATELITAL;25
251;6042020;WIRELESS;10
252;6042030;SATELITAL;27
253;6042030;WIRELESS;27
254;6042040;SATELITAL;32
255;6042040;WIRELESS;46
256;6049050;SATELITAL;7
257;6049010;SATELITAL;5
258;6049020;ADSL;615
259;6049020;CABLEMODEM;15377
260;6049020;DIAL UP;46
261;6049020;FIBRA OPTICA;79
262;6049020;Otros;14
263;6049020;SATELITAL;168
264;6049020;WIRELESS;1145
265;6049030;DIAL UP;2
266;6049030;SATELITAL;42
267;6049030;WIRELESS;521
268;6049040;FIBRA OPTICA;1
269;6049040;SATELITAL;64
270;6049040;WIRELESS;565
271;6056010;ADSL;2090
272;6056010;CABLEMODEM;100151
273;6056010;DIAL UP;360
274;6056010;FIBRA OPTICA;22670
275;6056010;Otros;61
276;6056010;SATELITAL;466
277;6056010;WIRELESS;3657
278;6056020;CABLEMODEM;193
279;6056020;DIAL UP;4
280;6056020;FIBRA OPTICA;210
281;6056020;Otros;1
282;6056020;SATELITAL;5
283;6056020;WIRELESS;66
284;6056030;ADSL;191
285;6056030;CABLEMODEM;1746
286;6056030;FIBRA OPTICA;2
287;6056030;SATELITAL;53
288;6056030;WIRELESS;14
