Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Hogares,Comercial,Gobierno,Otros,Total,TiempoTrim_ID,dif_total,Periodo,porc_hogares,porc_comercial,porc_gobierno,porc_otros
362,2,2021,2,CABA,1308400,101656,6465,22576,1439097,20212,0,2021Q2,90.91812435158992,7.063874082150126,0.44924004427776587,1.5687615219821875
363,3,2021,2,Catamarca,26944,2093,133,465,29635,20212,0,2021Q2,90.91952083684832,7.062594904673528,0.44879365614982286,1.569090602328328
364,4,2021,2,Chaco,82580,6416,408,1425,90829,20212,0,2021Q2,90.91809884508251,7.0638232282641,0.4491957414482159,1.5688821852051658
365,5,2021,2,Chubut,62015,4818,306,1070,68209,20212,0,2021Q2,90.91908692401296,7.063583984518172,0.4486211497016523,1.5687079417672154
367,6,2021,2,Corrientes,89073,6921,440,1537,97971,20212,0,2021Q2,90.91772054995866,7.064335364546652,0.4491124924722622,1.568831593022425
366,7,2021,2,Córdoba,530703,41233,2622,9157,583715,20212,0,2021Q2,90.91817068261052,7.063892481776208,0.44919181449851386,1.5687450211147564
368,8,2021,2,Entre Ríos,188688,14660,932,3256,207536,20212,0,2021Q2,90.91820214324262,7.063834708195205,0.4490787140544291,1.5688844345077482
369,9,2021,2,Formosa,33104,2572,164,571,36411,20212,0,2021Q2,90.91757985224245,7.063799401279833,0.45041333662904065,1.568207409848672
370,10,2021,2,Jujuy,40239,3126,199,694,44258,20212,0,2021Q2,90.91915585882778,7.06312982963532,0.4496362239595102,1.5680780875773872
371,11,2021,2,La Pampa,65235,5068,322,1126,71751,20212,0,2021Q2,90.91859346908056,7.063316190715112,0.4487742331117336,1.5693161070925843
372,12,2021,2,La Rioja,24334,1891,120,420,26765,20212,0,2021Q2,90.91724266766299,7.065197085746311,0.44834672146459925,1.5692135251260977
373,13,2021,2,Mendoza,185947,14447,919,3209,204522,20212,0,2021Q2,90.91784746873198,7.063787758774118,0.4493404132562756,1.569024359237637
374,14,2021,2,Misiones,89666,6966,443,1547,98622,20212,0,2021Q2,90.91886191721929,7.063332724949809,0.4491898359392428,1.5686155218916673
375,15,2021,2,Neuquén,66022,5129,326,1139,72616,20212,0,2021Q2,90.91935661562191,7.063181667951966,0.448936873416327,1.5685248430098049
376,16,2021,2,Río Negro,78450,6095,388,1354,86287,20212,0,2021Q2,90.91751944093548,7.063636468993012,0.44966217390800467,1.569181916163501
377,17,2021,2,Salta,109367,8497,540,1887,120291,20212,0,2021Q2,90.91868884621461,7.063703851493462,0.4489113898795421,1.5686959124124
378,18,2021,2,San Juan,60580,4707,299,1045,66631,20212,0,2021Q2,90.91864147318816,7.064279389473368,0.44874007594062826,1.5683390613978478
379,19,2021,2,San Luis,30022,2332,148,518,33020,20212,0,2021Q2,90.9206541490006,7.062386432465173,0.44821320411871596,1.5687462144155058
380,20,2021,2,Santa Cruz,25220,1960,125,435,27740,20212,0,2021Q2,90.91564527757751,7.065609228550828,0.45061283345349673,1.5681326604181687
381,21,2021,2,Santa Fe,596238,46324,2946,10288,655796,20212,0,2021Q2,90.91821237092023,7.063782029777553,0.44922506389182004,1.5687805354104019
382,22,2021,2,Santiago del Estero,60596,4708,299,1046,66649,20212,0,2021Q2,90.9180932947231,7.063871926060406,0.44861888400426114,1.5694158952122312
383,23,2021,2,Tierra del Fuego,17217,1338,85,297,18937,20212,0,2021Q2,90.9172519406453,7.065533083381739,0.44885673549136607,1.568358240481597
384,24,2021,2,Tucumán,150653,11705,744,2600,165702,20212,0,2021Q2,90.9180335783515,7.063885770841631,0.44899880508382517,1.569081845723045
337,1,2021,3,Buenos Aires,2852029,242423,15465,54601,3164518,20213,0,2021Q3,90.12522602178278,7.660661118059686,0.4887000168746078,1.7254128432829265
338,2,2021,3,CABA,1232448,104759,6683,23595,1367485,20213,0,2021Q3,90.12515676588775,7.6607056018896005,0.48870737156166244,1.7254302606609946
339,3,2021,3,Catamarca,22245,1891,121,426,24683,20213,0,2021Q3,90.12275655309323,7.661143297006036,0.49021593809504516,1.7258842118056963
340,4,2021,3,Chaco,66485,5651,361,1273,73770,20213,0,2021Q3,90.12471194252406,7.6602955130811985,0.4893588179476752,1.725633726447065
